카테고리,회사명,제품,가격,사용시간,흡입력
핸디청소기,밀라디,MLD-VC2022,77680,28.0,130
핸디스틱청소기,에어메이드,THE 500+ AMC-4500,249000,60.0,
핸디스틱청소기,일렉트로룩스,얼티밋홈 700 EFS71423,569860,53.0,
차량용청소기,오토반,썬더 2in1 차량용 무선 청소기 AW-Z9735,85400,,150
핸디스틱청소기,보랄,큐텐 BR-Q390RV,62800,,
핸디청소기,블랙앤데커,PV1420C,76000,11.0,
핸디스틱청소기,신일전자,SVC-DC2200SK,125400,35.0,
물걸레청소기,샤오미,드리미 H12,499000,30.0,
핸디스틱청소기,코코민트,트윈파워 OP-030,127980,40.0,230
물걸레청소기,자이로콥,GC-510WT,103990,40.0,
차량용청소기,리빙조이,차량용 무선청소기 H1 PLUS,97000,30.0,130
차량용청소기,베이스어스,차량용 무선 진공 청소기 A2 Pro (해외구매),39970,,60
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3311,238990,48.0,
핸디스틱청소기,기펠,듀얼 글라이드 360 P11,427800,30.0,230
차량용청소기,케이디와이,휴대용 미니청소기 KPV-3525,27370,25.0,27
핸디스틱청소기,다이슨,V15 디텍트 앱솔루트 엑스트라,1190000,60.0,240
핸디스틱청소기,스위스밀리터리,에어슬림 SMA-BV2200,195000,30.0,170
핸디스틱청소기,아이닉,i20,199000,50.0,250
핸디스틱청소기,쿠쿠전자,파워클론 CVC-AE1420,240870,35.0,140
핸디스틱청소기,보아르,포스 B25 Pro,198000,60.0,300
차량용청소기,디티,핸디형 미니 무선청소기 DT-CV200,22850,,55
핸디스틱청소기,일렉트로룩스,ZB3302AK,189000,42.0,
차량용청소기,샤오미,CLEANFLY 차량용 무선 청소기 H1 (해외구매),50650,30.0,168
핸디청소기,네오비즈,미라스 FX-178VC,29610,,
차량용청소기,시프이컴,핸디형 차량용 무선 청소기 DK-X112,50890,22.0,52
차량용청소기,ZHENHUI,미니 진공 차량용 무선 청소기 (해외구매),17720,,60
물걸레청소기,신일전자,SDC-W8000NK,163000,30.0,
핸디스틱청소기,로헨,L30,169000,50.0,350
차량용청소기,유피,무선 차량 청소기 H20,125390,,140
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E2,708990,60.0,210
핸디스틱청소기,삼성전자,제트 VS20T9253QD,417600,60.0,200
물걸레청소기,샤오미,미홀 H17 Pro,215100,30.0,
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9271,875970,60.0,210
